Track Name,Artist Name(s),Decade,Duration (ms),Popularity,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Liveness,Valence,Tempo,Time Signature
I Ain't No Joke,Eric B. & Rakim,80,232760,52,0.854,0.706,11,-9.5,0.335,0.162,0.0994,0.747,104.214,4
I'm Bad,LL COOL J,80,279960,41,0.632,0.613,2,-9.553,0.18,0.0012,0.379,0.726,179.243,4
Children's Story,Slick Rick,80,242040,61,0.904,0.577,1,-7.293,0.132,0.125,0.115,0.7,102.691,4
Boyz-N-The-Hood,Eazy-E,80,339893,68,0.785,0.479,3,-10.247,0.362,0.0417,0.334,0.727,87.691,4
Top Billin - Acapella,Audio Two,80,175706,42,0.913,0.351,10,-13.57,0.354,0.0102,0.401,0.727,91.499,4
I Got It Made,Special Ed,80,221986,46,0.816,0.471,10,-13.244,0.291,0.112,0.117,0.742,95.248,4
6 'N the Mornin',ICE-T,80,224866,48,0.823,0.745,5,-6.637,0.247,0.00282,0.323,0.58,91.919,4
Ain't No Half-Steppin',Big Daddy Kane,80,319906,50,0.836,0.728,10,-12.058,0.234,0.00569,0.0649,0.599,100.842,4
9mm Goes Bang,Boogie Down Productions,80,257223,49,0.779,0.641,2,-11.228,0.158,0.134,0.0831,0.885,164.976,4
Vapors,Biz Markie,80,362293,41,0.848,0.556,1,-10.046,0.245,0.000183,0.335,0.362,93.498,4
Eric B. Is President,"Eric B. & Rakim,Marley Marl",80,378533,39,0.891,0.69,1,-8.649,0.378,0.067,0.234,0.835,96.561,4
Hey DJ,Worlds Famous Supreme Team,80,206081,44,0.786,0.963,9,-2.84,0.127,0.207,0.169,0.897,94.63,4
Subway Theme,Grand Wizard Theodore,80,173306,37,0.829,0.852,2,-4.655,0.346,0.351,0.324,0.713,103.127,4
Smooth Operator,Big Daddy Kane,80,284466,48,0.891,0.319,4,-16.099,0.333,0.0933,0.0482,0.687,92.649,4
Straight Outta Compton,N.W.A.,80,258687,72,0.834,0.878,8,-9.484,0.15,0.0461,0.334,0.418,102.848,4
The Bridge Is Over,Boogie Down Productions,80,204601,44,0.822,0.447,0,-9.836,0.448,0.0173,0.0643,0.556,179.837,4
Just a Friend,Biz Markie,80,238266,59,0.862,0.663,0,-9.004,0.21,0.12,0.318,0.837,85.308,4
The Gas Face,3rd Bass,80,229840,38,0.89,0.828,2,-7.901,0.349,0.195,0.315,0.608,101.865,4
"Hold It Now, Hit It",Beastie Boys,80,206213,47,0.791,0.738,6,-8.768,0.355,0.0123,0.351,0.891,95.3,4
